patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Ông Quang Dương,105566710213,08/05/1954,0736302978,tranjohn@example.com,"338 Hạnh Đức Đặng xã JaneThành phố, 895667",Tim mạch,10.28,Anh Dũng Mai,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Bảo Phú Mai,204207436838,09/07/1948,0558893998,nhoang@example.net,"18 Hương Bùi Tổ
Hương Bùi phố JohnPhường, 338968",Huyết áp cao,10.6,An Mai,20/01/2026
a2bc372f-7412-4293-8729-4739614ff3d7,Mai Lê,086603985512,15/11/1963,0998616123,john45@example.net,"64 Bà Hải Dương phố JaneThị xã, 380746",Tiểu đường,5.92,Hoàng Hải Mai,03/03/2026
654821d0-7fcd-4eb1-a7ca-d415366eb16f,Nam Bùi,467047279842,03/12/1968,0839688889,duongjane@example.net,"7 Vũ Vũ, 166613",Khỏe mạnh,11.67,Anh Nam Hoàng,18/02/2026
f143262f-dc5c-4eed-8da0-365bf89897b9,An Quang Trần,250583675453,03/09/1971,0949430147,janebui@example.net,"2 Bà Dương Lê
Huyện JohnXã, 916449",Khỏe mạnh,10.64,Duyên Chị Hải Vũ,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Hải Dương,345451662846,21/02/1968,0714917790,vle@example.org,"Quận JaneXã
89 Quý cô An Dương Làng, 847581",Tiểu đường,3.64,Quý cô Thành Trần,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Chị Hà Vũ,339879613715,22/03/1938,0965806865,janele@example.com,"105 Minh Lê
JohnXã, 238739",Khỏe mạnh,10.35,Bà Nhật Dương Châu Bà Nhật Dương,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,An Bùi,824161293784,24/09/1942,0527014891,jane90@example.com,"338 Anh Nam Vũ
Huyện JaneQuận, 179046",Tiểu đường,4.17,Khoa Mai,03/01/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Ngọc Dương,695444957179,14/11/2000,0361581411,john37@example.net,"74 Thành Dương Dãy
Quận JaneQuận, 161324",Huyết áp cao,4.78,Lâm Phú Dương,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Ngọc Hoàng,951548739190,25/08/1960,0510211177,lmai@example.net,"939 Quý cô Kim Lê
JaneQuận, 802258",Huyết áp cao,4.06,Mai Nguyễn,26/01/2026
