"patient_id","ho_ten","cccd","ngay_sinh","so_dien_thoai","email","dia_chi","benh","ket_qua_xet_nghiem","bac_si_phu_trach","ngay_kham"
"bdd640fb-0667-4ad1-9c80-317fa3b1799d","Quang Phạm","947358883795","08/05/1954","0723999035","maijohn@example.net","338 John Số
Thị xã JaneThành phố, 895667","Tim mạch",10.28,"Quý cô Thành Vũ","31/01/2026"
"562b0f79-c374-49ee-b50b-ea63371ecd7b","Hà Bùi","706153613322","09/07/1948","0717474109","jane94@example.org","18 Hoàng Tổ
Thành phố JohnPhường, 338968","Huyết áp cao",10.6,"Vũ Phạm","20/01/2026"
"a2bc372f-7412-4293-8729-4739614ff3d7","Phúc Phú Đặng","258302609930","15/11/1963","0781222131","john92@example.net","64 Jane Đường
Thành phố JaneThị xã, 380746","Tiểu đường",5.92,"Lâm Hoàng","03/03/2026"
"654821d0-7fcd-4eb1-a7ca-d415366eb16f","Anh Anh Lê","862373811090","03/12/1968","0778744841","jane96@example.com","7 John Ngõ
Quận JaneXã, 166613","Khỏe mạnh",11.67,"Kim Mai Mai","18/02/2026"
"f143262f-dc5c-4eed-8da0-365bf89897b9","Dương Trần","147547479079","03/09/1971","0315301396","john46@example.org","2 Jane Làng
Huyện JohnXã, 916449","Khỏe mạnh",10.64,"Duyên Đặng","05/04/2026"
"5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82","Quang Nguyễn","418267784176","21/02/1968","0873961239","tranjane@example.org","Quận JaneXã
89 Phạm Làng, 847581","Tiểu đường",3.64,"Thành Đặng","27/03/2026"
"1efa2197-7394-488f-847f-d9b4e64d1bcb","Chị Hương Đặng","653174644615","22/03/1938","0838047917","johnnguyen@example.org","105 John Khu
JohnXã, 238739","Khỏe mạnh",10.35,"Anh Châu Bùi","06/02/2026"
"6e595ed3-a8b3-47fa-98d0-752b1825bc54","Huy Bảo Dương","320460706415","24/09/1942","0966705884","nguyenjane@example.net","338 Lê Số
Huyện JaneQuận, 179046","Tiểu đường",4.17,"Ông Hưng Mai","03/01/2026"
"c0e9ab30-ed26-42e9-97e0-11b7f8102383","Chị Hồng Dương","713321139546","14/11/2000","0833536976","janenguyen@example.org","74 Mai Dãy
Quận JaneQuận, 161324","Huyết áp cao",4.78,"Yến Đặng","12/01/2026"
"80bacd64-7a0e-4fea-958c-a9ba0cd620c2","Cô Phương Trần","538639451922","25/08/1960","0343843632","hoangjohn@example.net","939 John Số
JaneQuận, 802258","Huyết áp cao",4.06,"Quang Đức Bùi","26/01/2026"
"750cab75-4ccc-4bc2-a53f-8a28abf3e3fc","Vũ Văn Dương","795485995630","19/12/1948","0829657457","maijohn@example.net","354 Jane Khu
Huyện JohnQuận, 377312","Tiểu đường",6.61,"Hà Mai","31/01/2026"
"35ebd32d-9ad6-40ab-8821-2ddb45b89cd9","Trung Đức Mai","986574370369","06/11/2001","0882602002","john16@example.com","427 Mai Đường
Thành phố JohnXã, 137778","Tim mạch",4.13,"Nhiên Trí Bùi","25/01/2026"
"e623a689-5d59-4d2a-8eea-04e70ab54bde","Xuân Đặng","978044885158","13/12/1963","0893375070","johndang@example.net","2 John Hẻm
JohnQuận, 872343","Khỏe mạnh",9.56,"Huy Hải Vũ","31/01/2026"
"61ee411a-1bac-47a7-b386-f7a4c991603f","Ánh Dương","375236955479","19/08/1965","0931202559","janedang@example.com","036 Vũ Ngõ
JanePhường, 634150","Khỏe mạnh",3.6,"Hải Tấn Nguyễn","23/01/2026"
"2db69edb-42de-4fcc-b86c-2ca2e08596db","Hưng Trần","697655272731","03/07/1994","0899903088","jane69@example.net","06 John Tổ
JohnPhường, 446239","Tim mạch",3.77,"Tú Thế Mai","02/03/2026"
"6703b636-5380-4904-a88c-7015aab97e49","Tùng Lê","980930879909","20/06/1961","0353412002","rbui@example.net","80 Vũ Làng
JaneThị xã, 563246","Tiểu đường",4.32,"Anh Minh Dương","02/02/2026"
"83f4a9a9-48a6-49d0-95b5-2908a8aa7158","Vũ Hải Vũ","365439759707","06/12/1965","0397538067","johnnguyen@example.org","1 Bùi Làng
JaneThị xã, 355836","Khỏe mạnh",10.64,"Cô Hà Bùi","12/02/2026"
"b227462c-f53d-4330-8dda-24ba2d06e8cf","Ông Tùng Phạm","893262339503","16/11/1951","0551285088","zle@example.com","98 Mai Dãy
Thị xã JaneHuyện, 888295","Huyết áp cao",7.75,"Bà Vi Mai","05/04/2026"
"709b7d97-464c-44af-bd3f-3799a07295e9","Nhật Vũ","817906669343","10/04/1967","0512407695","jane58@example.org","23 Jane Số
JaneThị xã, 165290","Huyết áp cao",9.01,"Quý cô Hồng Hoàng","04/01/2026"
"9360715f-c3fe-4183-a172-b725db52ca58","Nhật Văn Đặng","149741670929","01/01/1976","0553663035","ibui@example.net","34 Dương Đường
JanePhường, 812131","Tim mạch",8.89,"Nhật Xuân Dương","25/01/2026"
"06e745f9-88bc-439c-9f4c-3b79fb10987f","Khoa Văn Trần","304629615288","10/09/1993","0591984936","janele@example.org","755 Vũ Số
JohnThị xã, 120324","Khỏe mạnh",5.87,"Linh Phạm","07/05/2026"
"a6d964a3-f510-4b53-87fe-e39f1190f938","Vi Nguyễn","981719600645","05/01/1969","0367581590","johnhoang@example.org","1 Jane Khu
JohnXã, 736745","Khỏe mạnh",5.02,"Bảo Vũ","21/01/2026"
"4fdc6e1b-edcb-4cb6-8692-dc639424aed5","Kim Hoàng Trần","866903513060","30/05/1968","0825193936","vujohn@example.net","6 Trần Tổ
Thị xã JaneThành phố, 554582","Huyết áp cao",6.76,"Bảo Trí Bùi","04/02/2026"
"a6846099-f729-4951-8591-31d2bbda0242","Trọng Mai","858673246243","28/02/2001","0987477594","ubui@example.net","473 Hoàng Số
JohnThị xã, 992288","Khỏe mạnh",5.23,"Phúc Mai Bảo Phạm","10/03/2026"
"4797b2c9-5720-4246-8223-623bcc3ebdde","Tùng Nguyễn","901736780672","02/09/2005","0769667910","johnpham@example.net","7 Dương Đường
Huyện JohnThị xã, 825391","Tim mạch",6.98,"Bà Dương Hoàng","13/03/2026"
"58007c02-87ea-4ff5-8db0-674679279973","Nhật Tấn Đặng","451323508559","10/02/1997","0583697901","jane43@example.org","823 Jane Khu
JohnQuận, 410636","Tim mạch",8.72,"Bà Lan Vũ","03/01/2026"
"4639447b-2067-4dac-88bd-13d1b540b30e","Ngọc Mai","392513387562","13/02/1975","0720244857","janetran@example.org","75 John Khu
JohnThành phố, 520172","Tiểu đường",5.36,"Ông Nhiên Nguyễn","30/01/2026"
"f2f9e5fa-9016-4161-8fa7-01cd2631d00b","Vũ Phạm","966978599225","25/06/1951","0507960965","mhoang@example.net","74 Vũ Đường
Quận JohnHuyện, 792509","Khỏe mạnh",4.95,"Bảo Phạm","03/02/2026"
"00af5b3a-2812-459a-9337-739e8d4f5d27","Nhật Mai Bảo Vũ","366490037091","20/10/1939","0990269820","janevu@example.net","3 Hoàng Làng
JohnXã, 335729","Tim mạch",7.13,"Bà Bảo Trần","12/01/2026"
"9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68","Bảo Trần","289788384859","24/02/1999","0777716718","jane48@example.net","0 Đặng Khu
Thành phố JohnPhường, 976566","Tim mạch",6.2,"Vi Vũ","22/04/2026"
"2cd94cbb-c19a-458c-835b-1c8c0a4c9f7f","Quý ông Anh Lê","895442013699","06/09/1994","0772452476","etran@example.com","1 Jane Số
JanePhường, 519904","Huyết áp cao",11.96,"Chi Trần","03/03/2026"
"f85e06a1-1dad-49b2-92c2-1221409d3602","Phương Văn Mai","657455842715","26/03/1998","0992486215","mnguyen@example.net","7 John Khu
Huyện JanePhường, 608257","Khỏe mạnh",6.11,"An Hoàng","16/02/2026"
"8d03c91e-4f8d-4238-a88b-78b5b5b453ca","Vân Bùi","915384287834","17/01/1948","0390499886","johnduong@example.org","48 Bùi Dãy
JohnThị xã, 678043","Tiểu đường",5.18,"Quý cô Lâm Hoàng","09/04/2026"
"dd30de89-22f2-45f2-a11b-868dbf0d073d","Hạnh Bùi","742874374945","13/08/1981","0993218471","john44@example.net","787 Đặng Số
JaneQuận, 831380","Tim mạch",6.37,"Quý cô Mai Bùi","09/01/2026"
"b489d070-7914-48a8-bea4-ff31517400f8","Kim Trí Dương","302229557360","25/05/1940","0881728421","janetran@example.com","262 Jane Khu
JanePhường, 184216","Huyết áp cao",5.02,"Tùng Hữu Đặng","02/05/2026"
"7cea2045-c268-483e-a32f-2e63b7fddd71","Duyên Trần","207713607454","24/04/1967","0522242267","john16@example.org","24 John Tổ
Huyện JaneHuyện, 551607","Tiểu đường",10.55,"Chị Phương Bùi","20/04/2026"
"2b840c67-2e18-4554-8ae2-8e66ae8a7813","Cô Khoa Bùi","795480521685","19/02/1968","0991860941","jhoang@example.org","40 Vũ Hẻm
Thị xã JaneXã, 413685","Huyết áp cao",7.12,"Nhật Đức Dương","28/02/2026"
"da743152-627b-41a1-bfd6-f23232ffe294","Ông Quang Bùi","699185395947","18/03/1984","0378187790","jane06@example.com","7 Phạm Tổ
Quận JanePhường, 892280","Tiểu đường",4.97,"Cô Hải Nguyễn","01/03/2026"
"945ef2e4-088a-43ec-b0d9-c9f8c9e26074","Hoàng Quang Vũ","190268949852","29/10/1979","0842753134","mle@example.org","8 Lê Khu
JanePhường, 455168","Huyết áp cao",7.46,"Nhật Trần","28/01/2026"
"dc322c97-39c1-4262-b76c-8edec1101266","Phương Phú Trần","860844186430","22/01/1989","0846987904","vujohn@example.com","6 Trần Làng
JohnXã, 688678","Khỏe mạnh",8.23,"Trọng Hải Trần","04/05/2026"
"b379cb1e-e8cd-40cc-b6da-3ca0d2e82f38","Huy Trần","458605820336","20/05/1954","0955621580","nguyenjane@example.com","2 Dương Tổ
JohnThị xã, 786735","Tiểu đường",7.13,"Nhật Hoàng","21/03/2026"
"08601833-479d-4cda-b396-ea37f065c817","Trung Mai Dương","593251406356","30/06/1967","0881105344","john58@example.net","31 Trần Làng
Thành phố JaneQuận, 232040","Huyết áp cao",5.4,"Cô Ánh Mai","10/02/2026"
"dea45c19-d024-4d72-b748-967f961d33ba","Bà Vi Lê","695704664412","29/09/1935","0803741069","john28@example.com","0 John Tổ
Huyện JohnQuận, 378258","Khỏe mạnh",7.35,"Lan Bùi","13/04/2026"
